"","user","tweet","lokasi"
"1","spilloutfitshop","rekomendasi sepatu sneakers canvas lucu cute sneakers ideas a thread",""
"2","imamtoyib1","promo diskon pvn jipyeong sepatu sneakers wanita sport shoes casual pink diskon checkout sekarang","Mojosari Kras Kediri Jawa Timu"
"3","alviliaa_","promo diskon ando official sepatu sneakers jesslyn wanita dewasa putihpersik diskon checkout sekarang","Pasar induk"
"4","vaniakeisya_","promo diskon faster sepatu sneakers casual kanvas pria size diskon checkout sekarang","Indonesia"
"5","putridewia_a","promo diskon lurad sepatu wanita kanvas sneakers chic kekinian sepatu sneakers wanita canvas classic diskon checkout sekarang",""
"6","NabilaSyahada2","temukan aerostreet hoops low putih hitam hitam sepatu sneaker sport dengan potongan hanya rp dapatkan segera di shopee shopeeid","Tangerang"
"7","itobf1","promo diskon kappa sepatu sneakers masone blackwhite diskon checkout sekarang",""
"8","imamto2003","promo diskon sepatu loggo phylon dennis no sneakers casual sepatu pria size diskon checkout sekarang",""
"9","pngfess","lur golek sepatu sneakers offline sing lengkap ngono ngendi ya suwun","Ponorogo, Indonesia"
"10","itobf1","promo diskon adorableprojects medalion peach sneakers sepatu wanita diskon checkout sekarang",""
"11","shpeethread","sepatu cewek hang out sepatu sneakers wanita joustava lurad qn sepatu impor original sepatu cewek kekinian cek promo","Jakarta"
"12","shpeethread","sevenday sepatu sneakers wanita korea import sport shoes h cek promo","Jakarta"
"13","shpeethread","lummyshop sepatu wanita giselle sneakers import only one colour cek promo","Jakarta"
"14","shpeethread","adorableprojects medalion black sneakers sepatu wanita cek promo","Jakarta"
"15","shpeethread","vera nevada sepatu sneakers wanita sport shoes vn cek promo","Jakarta"
"16","shpeethread","sepatu sneakers kanvas wanita why bear import kerja jalan black white comfy d cek promo","Jakarta"
"17","shpeethread","pvn taeyong sepatu sneakers wanita sport shoes white cek promo","Jakarta"
"18","shpeethread","sovella jovanka sepatu sneakers olahraga sport kets cewek hitam simple polos terbaru import cek promo","Jakarta"
"19","shpeethread","sevenday sepatu sneakers wanita korea import casual shoes h cek promo","Jakarta"
"20","shpeethread","sepatu sneakers wanita sepatu wanita tali qn sepatu kanvas wanita berkualitas terlaris sepatu kanvas colour cek promo","Jakarta"
"21","shpeethread","adorableprojects alexa monochrome sneakers sepatu wanita cek promo","Jakarta"
"22","shpeethread","pvn dalmi sepatu sneakers wanita sport shoes black cek promo","Jakarta"
"23","shpeethread","sepatu kanvas cewek sneakers canvas wanita model terbaru designe termodern trendy cek promo","Jakarta"
"24","txtberseragam","heiden heritage hrtg vendage vs lo black drift sneakers vulcanized sneakers sepatu pria rating cek diskon","Jakarta Pusat, DKI Jakarta"
"25","sarhagthang","promo diskon geoff girls official timeless hi salmon white sepatu wanita sneakers wanita sepatu unisex diskon checkout sekarang",""
"26","AyuZahrani11","i purple untuk ga sepatu sneakers wanita korea import casual shoes g",""
"27","zannakirana_","promo diskon leedoo sepatu olahraga pria sepatu sneakers running sport shoes sepatu lari fashion pria mr diskon checkout sekarang",""
"28","id_myfashion","flash sale aerostreet vintage krem coklat muda sepatu sneakers casual diskon checkout sekarang","Indonesia"
"29","SaraAlamilla11","promo diskon beeyoo sepatu sneakers tali sepatu wanita dewasa fashion sepatu kets jalan santai wk diskon checkout sekarang","Indonesia"
"30","id_myfashion","flash sale leedoo sepatu sneaker pria running shoes sport mr diskon checkout sekarang","Indonesia"
"31","puffpastry__","aerostreet vintage sepatu sneakers casual ini di design simple punya banyak pilihan warna dan harganya affordable k saja ootd aerostreet sneakers sepatu casual","indonesia"
"32","masitowae","promo diskon joshjoe sepatu sneakers sports pria wanita santai sngy diskon checkout sekarang","Kediri, Jawa Timur"
"33","id_myfashion","flash sale aerostreet questar abu neon sepatu sneakers casual sport sekolah pria wanita aero street diskon checkout sekarang","Indonesia"
"34","vaniakeisya_","promo diskon adorableprojects alumbra black sneakers sepatu wanita diskon checkout sekarang","Indonesia"
"35","ArianaAbascal1","promo diskon adorableprojects drivia sneakers grey sepatu wanita diskon checkout sekarang",""
"36","yusiedaynti","promo diskon aerostreet riku navy oranye sepatu sneakers casual pria wanita aero street ii diskon checkout sekarang",""
"37","BarangLokalan","heiden heritage hrtg vendage vs hi black drift sneakers vulcanized sneakers sepatu pria rating cek harga","Jakarta"
"38","id_myfashion","flash sale pvn nayeon sepatu sneakers wanita sport shoes diskon checkout sekarang","Indonesia"
"39","imamtoyib1","promo diskon cpe kirei v sepatu cewek sneakers sport wanita import korea original diskon checkout sekarang","Mojosari Kras Kediri Jawa Timu"
"40","BilaSaputri8","pvn taeyong sepatu sneakers wanita sport shoes cream cek diskon","Tangerang"
"41","sarhagthang","promo diskon geoff max official meery black gum sepatu pria sneakers diskon checkout sekarang",""
"42","yusiedaynti","promo diskon adorableprojects medalion white sneakers sepatu putih diskon checkout sekarang",""
"43","sitiwae11","promo diskon dari kevin sepatu sport pria men sneakers abu coffee warna diskon checkout sekarang",""
"44","BestRcmndForYou","phm shoes cod selene sepatu sneakers wanita casual","Surabaya"
"45","BestRcmndForYou","sepatu wanita sneakers sport shoes import korea premium quality warna putih dan pink","Surabaya"
"46","BestRcmndForYou","vera nevada livy vn sepatu sneakers wanita sport shoes","Surabaya"
"47","BestRcmndForYou","marelow grace sepatu sneakers casual wanita","Surabaya"
"48","BestRcmndForYou","kiwari shoes sepatu sneakers wanita helice beige casual korea inspired design","Surabaya"
"49","BestRcmndForYou","beeyoo sepatu kets wanita sepatu olahraga outdoor fashion wanita sepatu sneakers wr","Surabaya"
"50","BestRcmndForYou","slava yuma white sepatu sneakers wanita original footwear","Surabaya"
"51","BestRcmndForYou","sepatu sneaker putih wanita fashion korea sepatu casual kuliah import","Surabaya"
"52","BestRcmndForYou","marelow gwen sepatu sneakers casual wanita","Surabaya"
"53","BestRcmndForYou","justlook yoona sepatu sneakers wanita sneakers shoes fashion korea","Surabaya"
"54","BestRcmndForYou","nadilastuff asli retro sneakers bisa cod sepatu wanita orisinal import realpict kualitas terbaik","Surabaya"
"55","BestRcmndForYou","beeyoo sepatu sneakers wanita shoes fashion korea casual wanita warna pastel wk","Surabaya"
"56","BestRcmndForYou","marelow winda sepatu sneakers canvas wanita","Surabaya"
"57","BestRcmndForYou","sovella levine sepatu sneakers olahraga kasual sport simpel polos wanita import","Surabaya"
"58","BestRcmndForYou","i purple untuk ga sepatu sneakers wanita korea import casual shoes g","Surabaya"
"59","BestRcmndForYou","pvn mingyu sepatu sneakers wanita casual sport shoes cream","Surabaya"
"60","BestRcmndForYou","pvn jeonghan sepatu sneakers wanita sport shoes","Surabaya"
"61","BestRcmndForYou","sovella dulcea sepatu sneakers olahraga sport kasual polos simple wanita import","Surabaya"
"62","BestRcmndForYou","justlook lisa sepatu sneakers wanita sneakers shoes korea import","Surabaya"
"63","id_myfashion","flash sale aerostreet aerofomz â insole sepatu sneakers casual sekolah pria wanita aero street diskon checkout sekarang","Indonesia"
"64","id_myfashion","flash sale pvn jisung sepatu sneakers wanita sport shoes lilac diskon checkout sekarang","Indonesia"
"65","StudentProducts","ortuseight sepatu sneakers harvard black white rp",""
"66","StudentProducts","ando official sepatu sneakers fugo pria dewasa hitamputih rp rp",""
"67","StudentProducts","aerostreet riku putih merah sepatu sneakers casual pria wanita aero street ii rp",""
"68","PulungArtha","sepatu neo baseline white black original sepatu pria sepatu wanita cek bio racunshopee sepatu sepatuwanita sepatupria sepatumurah sepatusneakers",""
"69","LosSant0so","promo diskon joshjoe sepatu sneakers sports priawanita santai bw diskon checkout sekarang",""
"70","sarhagthang","promo diskon aerostreet hoops low gum off white off white sepatu sneakers casual pria wanita aero street diskon checkout sekarang",""
"71","masitowae","promo diskon ge albino sepatu slip on getzke original sneakers diskon checkout sekarang","Kediri, Jawa Timur"
"72","yusiedaynti","promo diskon giocardin lah triple black sepatu pria sneakers diskon checkout sekarang",""
"73","maubaikk","wtb sepatu orisinal prefer sneakers running juga boleh adidas nike puma size siapa tau ada yang salah beli ukuran pas promo kemarin zonauang zonabu wts boleh dm kesini","Kota Medan, Sumatera Utara"
"74","BarangDiskonan","gifly young il sneakers sepatu wanita korea",""
"75","BarangDiskonan","pvn jeonghan sepatu sneakers wanita sport",""
"76","BarangDiskonan","gifly dallia sepatu sneakers wanita",""
"77","BarangDiskonan","kingbest sepatu sneakers wanita",""
"78","BarangDiskonan","justlook soejin sepatu sneakers wanita",""
"79","nirmalsalsabila","promo diskon sepatu sneakers kanvas wanita miracolo lurad d d sepatu cewek berubah warna sepatu polos sepatu pelangi diskon checkout sekarang",""
"80","vidyaisvara","promo diskon paulmay sepatu sneakers pria modena diskon checkout sekarang",""
"81","LosSant0so","promo diskon pvn sepatu sneakers pria diskon checkout sekarang",""
"82","sarhagthang","promo diskon syrup supply journey white sneakers sepatu unisex diskon checkout sekarang",""
"83","fadlinurullah_s","temukan aerostreet classic putih navy sepatu sneakers casual dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"84","fadlinurullah_s","temukan aerostreet jhosse low hitam hitam sepatu sneakers casual pria wanita aero street dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"85","fadlinurullah_s","temukan aerostreet riku navy oranye sepatu sneakers casual pria wanita aero street ii dengan potongan hanya rp dapatkan segera di shopee shopeeid","Cirebon, Jawa Barat"
"86","barang_diskonan","sepatu pria impor sneakers olahraga cowok sepatu kasual fashion mesh low top cek harga",""
"87","barang_diskonan","ando official sepatu sneakers pino pria dewasa hitam putih cek harga",""
"88","barang_diskonan","sepatu sneakers rebk clasic pria wanita kets casual running jogging lari olahraga cek harga",""
"89","barang_diskonan","parayu sepatu sneakers pria cacera flg sepatu kasual pria cek harga",""
