"","user","tweet","lokasi"
"1","teu180","<U+7D50><U+69CB><U+3046><U+307E><U+304F><U+51FA><U+305B><U+305F><U+6C17><U+304C><U+3059><U+308B> <U+30A8><U+30B9><U+30D7><U+30EC><U+30C3><U+30BD><U+304C><U+5BB6><U+3067><U+3067><U+304D><U+308B><U+3068><U+725B><U+4E73><U+306E><U+6D88><U+8CBB><U+91CF><U+304C><U+5897><U+3048><U+307E><U+304F><U+308B> <U+3067><U+3082><U+5BB6><U+306E><U+6642><U+9593><U+304C><U+78BA><U+5B9F><U+306B><U+697D><U+3057><U+304F><U+306A><U+308B> biji kopi papuwa kopi coffee <U+30B3><U+30FC><U+30D2><U+30FC>",""
"2","MaulidaSaktiaP","dari biji kopi terbaik asli nusantara","West Sumatra, Indonesia"
"3","mrsymzz","keabisan biji kopi paper filter nya abisnya bisa barengan begitu perfect","Izmir, Türkiye"
"4","baeyyoo","bukan deh beli nasi lemak dua bungkus ke lepastu deh makan mee goreng tekur dadar dua biji karipap dan kopi keeeee tak kenyang lagi ke woii",""
"5","kopigadingID","sudah ready ya biji sangrai kopi robusta sintaro bengkulu bean bisa bebas ongkir lho","Indonesia"
"6","TagaMilza","biji hijauroastingpacking yang akhir pekannya mau nikmati kopi gayo boleh tanya dan hubungi kami kopinya asli dikirim dari gayo aceh ya tipe roasting kami sediakan sesuai keinginan konsumen boleh bubuk atau bean bantu rt ya order by wa","Dairi, Sumatera Utara"
"7","Nurmawaddah04","bismillah yang mau ikut pengiriman hari ini yuk gercep di order ready ya kopi asli gayo arabika robusta dan luwak tersedia biji roasting dan bubuk harga tetap sama ya sini order","Dairi, Sumatera Utara"
"8","denjinak","oalah pantesan tanpa pengawet sebenarnya tadi tuh bikin kopi buat nguli genshin sampai subuh nah pas ditarik bungkusnya yang robek dua biji jadi mau enggak mau harus diseduh daripada ditakol sama emak","brok(en)glish & bahasa"
"9","JamuWahyuSejati","curcumae rhizoma gram curcumae rhizoma adalah temu lawak coffeae semen gram coffeae semen bahasa indonesianya adalah biji kopi","Sumenep dan Lumajang"
"10","elykhsa","gue bisa saja kayak begini kalo habis nenggak anti depresan dua biji plus kopi",""
